"07-03-2008",186,183,182,182,182,182,182,182,182,160,76,49,49,58,53,55,53,64,54,45,41,34,30,38
"08-03-2008",41,26,20,15,35,32,38,22,20,35,45,59,75,87,96,101,103,101,102,77,37,21,23,21
"09-03-2008",46,53,41,32,28,26,19,31,24,35,40,65,85,97,100,100,100,97,93,89,65,54,36,43
"10-03-2008",43,50,42,34,17,35,32,15,16,20,44,67,87,94,97,99,100,99,94,84,72,63,56,73
"11-03-2008",66,72,73,64,50,37,22,17,14,21,36,59,84,89,85,75,75,75,75,68,61,48,52,49
"12-03-2008",44,51,57,53,56,67,68,59,44,42,51,76,79,87,87,85,86,86,88,58,37,24,16,18
"13-03-2008",34,23,34,29,16,16,45,44,27,35,55,75,81,82,82,81,84,80,72,57,44,34,39,45
"14-03-2008",39,52,61,60,53,44,48,47,25,25,41,70,76,82,87,88,91,95,83,68,49,38,38,28
"15-03-2008",49,61,49,51,21,28,27,16,19,24,34,51,69,81,91,96,100,97,85,79,68,58,46,62
"16-03-2008",54,59,54,18,13,25,15,14,18,21,61,80,86,90,93,91,92,81,73,64,53,41,41,50
"17-03-2008",56,55,57,56,30,34,29,16,18,16,32,57,68,75,80,75,75,78,77,70,60,60,69,56
"18-03-2008",60,63,68,71,76,73,68,56,37,32,53,69,75,83,80,77,85,84,85,79,68,63,-9999,65
"19-03-2008",64,64,67,66,62,50,45,29,30,33,48,55,65,78,77,95,99,101,93,61,51,47,-9999,50
"20-03-2008",48,50,59,50,48,59,65,54,52,39,28,36,51,59,68,70,67,-9999,-9999,-9999,46,45,42,48
"21-03-2008",51,56,42,49,50,50,52,38,32,36,54,76,87,88,90,91,91,91,86,80,67,67,55,60
"22-03-2008",59,54,63,69,58,24,44,33,26,31,39,79,93,99,97,96,97,96,96,89,67,55,46,46
"23-03-2008",23,32,43,27,35,58,48,51,30,17,29,27,39,68,80,81,86,86,86,64,26,18,25,-9999
"24-03-2008",13,15,15,27,19,15,21,23,18,18,37,61,73,85,89,93,88,84,81,79,86,79,67,76
