COMPONENT PM10 (aerosol), day
STATION LARISA
20080809 00:00,38,1
20080810 00:00,30,1
20080811 00:00,28,1
20080812 00:00,33,1
20080813 00:00,40,1
20080814 00:00,57,1
20080815 00:00,49,1
20080816 00:00,46,1
20080817 00:00,44,1
20080818 00:00,57,1
20080819 00:00,45,1
20080820 00:00,55,1
20080821 00:00,53,1
20080822 00:00,67,1
20080823 00:00,68,1
20080824 00:00,52,1
20080825 00:00,50,1
20080826 00:00,59,1
20080827 00:00,43,1
20080828 00:00,37,1
20080829 00:00,38,1
20080830 00:00,41,1
20080831 00:00,30,1
20080901 00:00,34,1
20080902 00:00,35,1
20080903 00:00,39,1
20080904 00:00,42,1
20080905 00:00,48,1
20080906 00:00,49,1
20080907 00:00,49,1
20080908 00:00,60,1
20080909 00:00,59,1
20080910 00:00,55,1
20080911 00:00,56,1
20080912 00:00,-9999,0
20080913 00:00,-9999,0
20080914 00:00,82,1
20080915 00:00,62,1
20080916 00:00,36,1
20080917 00:00,29,1
20080918 00:00,-9999,0
20080919 00:00,29,1
20080920 00:00,37,1
20080921 00:00,20,1
20080922 00:00,35,1
20080923 00:00,29,1
20080924 00:00,27,1
20080925 00:00,19,1
20080926 00:00,21,1
20080927 00:00,22,1
20080928 00:00,18,1
20080929 00:00,29,1
20080930 00:00,33,1
20081001 00:00,43,1
20081002 00:00,36,1
20081003 00:00,40,1
20081004 00:00,33,1
20081005 00:00,16,1
20081006 00:00,17,1
20081007 00:00,42,1
20081008 00:00,55,1
20081009 00:00,49,1
20081010 00:00,50,1
20081011 00:00,42,1
20081012 00:00,49,1
20081013 00:00,57,1
20081014 00:00,76,1
20081015 00:00,-9999,0
20081016 00:00,-9999,0
20081017 00:00,-9999,0
20081018 00:00,83,1
20081019 00:00,46,1
20081020 00:00,55,1
20081021 00:00,66,1
20081022 00:00,65,1
20081023 00:00,62,1
20081024 00:00,61,1
20081025 00:00,60,1
20081026 00:00,46,1
20081027 00:00,47,1
20081028 00:00,37,1
20081029 00:00,46,1
20081030 00:00,60,1
20081031 00:00,83,1
20081101 00:00,65,1
20081102 00:00,54,1
20081103 00:00,57,1
20081104 00:00,-9999,0
20081105 00:00,-9999,0
20081106 00:00,86,1
20081107 00:00,66,1
20081108 00:00,50,1
20081109 00:00,26,1
20081110 00:00,45,1
20081111 00:00,44,1
20081112 00:00,52,1
20081113 00:00,60,1
20081114 00:00,61,1
20081115 00:00,63,1
20081116 00:00,41,1
20081117 00:00,41,1
20081118 00:00,21,1
20081119 00:00,26,1
20081120 00:00,47,1
20081121 00:00,32,1
20081122 00:00,20,1
20081123 00:00,19,1
20081124 00:00,25,1
20081125 00:00,36,1
20081126 00:00,50,1
20081127 00:00,34,1
20081128 00:00,38,1
20081129 00:00,36,1
20081130 00:00,46,1
20081201 00:00,54,1
20081202 00:00,50,1
20081203 00:00,57,1
20081204 00:00,49,1
20081205 00:00,32,1
20081206 00:00,52,1
20081207 00:00,26,1
20081208 00:00,34,1
20081209 00:00,39,1
20081210 00:00,54,1
20081211 00:00,71,1
20081212 00:00,33,1
20081213 00:00,60,1
20081214 00:00,56,1
20081215 00:00,45,1
20081216 00:00,42,1
